
Scheme Name,Benchmark,Riskometer Scheme,Riskometer Benchmark,NAV Date,NAV Regular,NAV Direct,Return 1 Year (%) Regular,Return 1 Year (%) Direct,Return 1 Year (%) Benchmark,Return 3 Year (%) Regular,Return 3 Year (%) Direct,Return 3 Year (%) Benchmark,Return 5 Year (%) Regular,Return 5 Year (%) Direct,Return 5 Year (%) Benchmark,Return 10 Year (%) Regular,Return 10 Year (%) Direct,Return 10 Year (%) Benchmark,Return Since Launch Regular,Return Since Launch Direct,Return Since Launch Benchmark,Daily AUM (Cr.)
Aditya Birla Sun Life Frontline Equity Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,345.68,376.31,1.49,2.19,-0.30,24.99,25.85,25.08,9.90,10.68,11.45,14.04,14.99,13.85,18.74,13.67,,"21,599.17"
Axis Bluechip Fund,S&P BSE 100 Total Return Index,Very High,Very High,2023-04-12,42.44,47.83,-4.97,-3.98,1.73,16.07,17.41,26.58,10.43,11.77,12.11,13.48,14.82,14.05,11.50,14.14,10.96,"33,231.95"
Bandhan Large Cap Fund,S&P BSE 100 Total Return Index,Very High,Very High,2023-04-12,49.00,54.79,-0.83,0.41,1.73,21.64,23.12,26.58,9.76,10.97,12.11,11.70,12.95,14.05,9.89,11.86,12.87,"1,061.89"
Bank of India Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,10.41,10.66,-1.70,-0.47,-0.30,,,,,,,,,,2.27,3.64,6.70,113.78
Baroda BNP Paribas Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,143.62,161.29,2.97,4.23,-0.30,21.87,23.34,25.08,11.38,12.72,11.45,14.42,15.73,13.85,15.41,14.55,14.92,"1,390.90"
Canara Robeco Bluechip Equity Fund,S&P BSE 100 Total Return Index,Very High,Very High,2023-04-12,41.53,46.69,1.74,3.16,1.73,21.97,23.81,26.58,12.85,14.42,12.11,14.00,15.36,14.05,11.91,14.03,11.02,"9,134.36"
DSP Top 100 Equity Fund,S&P BSE 100 Total Return Index,Very High,Very High,2023-04-12,292.27,313.49,3.39,4.22,1.73,20.75,21.69,26.58,7.81,8.62,12.11,11.21,11.97,14.05,18.28,10.37,17.33,"2,655.85"
Edelweiss Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,56.43,62.57,3.87,5.51,-0.30,23.80,25.76,25.08,11.08,12.64,11.45,14.02,15.20,13.85,13.25,13.96,12.48,418.72
Edelweiss Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,56.03,,3.95,,-0.30,23.84,,25.08,11.10,,11.45,14.03,,13.85,13.20,,12.48,418.72
Edelweiss Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,56.78,,3.97,,-0.30,23.84,,25.08,11.10,,11.45,14.03,,13.85,13.30,,12.48,418.72
Franklin India Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,687.24,746.61,-0.35,0.44,-0.30,23.93,24.86,25.08,9.09,9.94,11.45,12.04,12.96,13.85,18.96,11.74,,"6,294.19"
HDFC Top 100 Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,756.03,806.83,6.87,7.52,-0.30,27.66,28.42,25.08,11.28,11.96,11.45,13.79,14.51,13.85,18.56,13.03,,"22,873.23"
HSBC Large Cap Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,317.81,345.61,1.46,2.43,-0.30,21.77,22.93,25.08,9.67,10.66,11.45,12.55,13.46,13.85,18.53,11.98,,"1,437.35"
ICICI Prudential Bluechip Fund,NIFTY 100 Total Return Index,Very High,Very High,2023-04-12,69.07,74.88,4.40,5.05,-0.30,26.65,27.45,25.08,11.59,12.35,11.45,14.84,15.74,13.85,13.85,14.47,10.57,"35,429.66"
